num_functions,cyclomatic_complexity,num_loops,num_function_calls,num_memory_allocations,num_pointer_operations,num_exp_math_operations,power_mW
563,41,30,89,6,9,15,203.2
553,29,23,80,4,9,31,260.75
579,55,41,103,12,9,57,71.33333333333333
565,50,39,76,6,9,69,2398.4
583,53,37,113,20,9,53,19.333333333333332
571,37,28,94,4,9,25,331.6666666666667
557,47,35,80,4,9,55,258.75
541,30,25,64,4,9,25,1970.25
589,67,49,113,16,9,79,4183.8
596,43,36,114,10,9,67,210.4
584,47,34,100,8,9,17,18.666666666666668
557,38,30,80,8,9,29,2181.3333333333335
549,43,26,82,18,9,27,2402.5
542,39,24,76,14,9,29,1598.0
575,34,28,94,6,9,27,2290.3333333333335
587,66,48,116,18,9,51,50.0
559,29,25,79,4,9,37,2296.6666666666665
551,42,33,87,10,9,31,1016.0
577,30,26,86,2,9,41,2550.6666666666665
552,39,32,74,4,9,37,264.75
597,65,44,116,20,9,77,1586.0
577,50,37,101,14,9,77,16.666666666666668
568,45,34,74,2,9,53,18.0
583,53,36,109,14,9,65,3835.0
582,50,36,108,16,9,67,1492.4
557,31,21,74,4,9,25,294.5
581,42,30,87,4,9,55,640.6666666666666
594,47,34,107,10,9,55,3582.4
549,35,28,71,4,9,49,207.2
569,59,39,98,20,9,29,2124.0
598,48,42,115,6,9,69,17.333333333333332
595,63,44,118,16,9,25,2045.0
561,47,30,88,12,9,51,3279.4
586,55,40,111,12,9,57,213.6
571,38,28,88,12,9,75,18.0
570,43,32,89,10,9,61,2308.6666666666665
564,50,36,76,6,9,63,1747.2
589,44,32,98,6,9,51,208.4
530,26,19,65,8,9,35,209.4
599,59,43,116,14,9,65,1950.0
559,40,30,91,6,9,45,888.0
553,47,30,76,12,9,33,1516.3333333333333
549,33,23,71,2,9,11,723.2
566,40,29,88,8,9,23,135.0
553,47,32,82,10,9,67,898.4
563,46,31,87,18,9,51,4003.2
561,36,26,87,16,9,61,212.4
564,34,25,90,6,9,45,19.0
564,28,22,84,2,9,29,1966.25
551,27,24,84,2,9,29,358.75
600,57,42,112,8,9,17,4864.333333333333
551,30,21,83,14,9,29,204.4
580,54,42,111,16,9,37,18.0
569,34,26,98,8,9,23,1594.2
566,31,21,93,16,9,31,3246.2
567,41,33,86,6,9,69,208.6
574,39,26,87,8,9,23,20.0
552,42,31,78,10,9,25,1984.75
554,37,25,71,4,9,19,257.0
594,47,35,98,6,9,39,5991.333333333333
600,59,43,123,16,9,49,228.8
580,36,26,102,2,9,17,1592.2
562,39,28,80,4,9,61,264.75
576,46,35,103,16,9,55,974.3333333333334
595,62,42,119,18,9,45,2081.2
565,51,35,102,16,9,43,208.0
525,23,17,60,4,9,25,1910.0
579,37,30,102,8,9,59,16.666666666666668
587,46,35,106,12,9,45,1497.5
583,44,34,100,16,9,79,134.66666666666666
573,51,31,100,20,9,41,4627.333333333333
600,62,49,121,14,9,77,834.4
569,55,41,88,16,9,79,21.0
618,55,45,127,10,9,55,837.75
602,65,44,129,20,9,47,2027.6
599,47,36,111,10,9,55,45.0
595,48,37,105,4,9,37,740.0
568,54,33,98,20,9,47,19.666666666666668
549,30,23,83,4,9,25,671.2
585,55,43,99,8,9,71,1214.6666666666667
564,43,31,97,14,9,47,408.6666666666667
575,42,30,102,18,9,39,1614.0
582,57,39,111,14,9,77,259.25
547,48,31,89,20,9,53,1074.6666666666667
552,24,19,78,6,9,27,262.25
572,39,27,106,18,9,27,2948.2
561,28,23,93,6,9,45,28.333333333333332
559,45,31,77,8,9,71,19.0
576,37,33,95,2,9,41,752.6666666666666
597,58,42,116,20,9,71,134.66666666666666
571,38,28,93,16,9,55,4798.4
551,42,27,85,20,9,53,1617.8
593,59,45,103,6,9,69,1488.0
563,38,31,77,6,9,33,37.333333333333336
587,60,40,114,20,9,83,1980.75
566,38,30,92,8,9,17,1382.2
565,49,32,85,14,9,41,50.333333333333336
572,46,30,93,14,9,41,1982.5
572,48,35,108,20,9,59,18.0
574,35,27,91,12,9,45,2310.6666666666665
576,43,36,96,4,9,37,1465.0
577,43,33,100,12,9,63,1620.0
617,67,53,132,16,9,79,16.666666666666668
586,42,33,111,12,9,69,409.3333333333333
561,41,30,96,18,9,57,1435.2
557,38,27,74,2,9,29,2450.0
578,55,44,107,16,9,79,20.0
574,45,34,98,6,9,57,1985.25
560,43,31,93,10,9,31,15.333333333333334
568,40,31,91,12,9,51,1480.6666666666667
573,51,39,98,18,9,81,2602.6
