num_functions,cyclomatic_complexity,num_loops,num_function_calls,num_memory_allocations,num_pointer_operations,num_exp_math_operations,instruction_count,arithmetic_instr_pct,memory_instr_pct,control_instr_pct,control_path_depth,power_mw
5527,2494,2134,4321,496,9,1760,105200,1.67,0.47,2.37,2,941
9672,4595,3412,6452,1498,9,1518,161677,0.94,0.93,2.84,2,932
12168,5481,3948,9623,1516,9,3314,199417,1.66,0.76,2.75,2,927
8196,3543,2974,4957,348,9,968,145591,0.66,0.24,2.43,2,1033
10015,4674,3285,8849,1748,9,3586,170948,2.1,1.02,2.73,2,905
6487,3623,2608,3634,112,9,586,125948,0.47,0.09,2.88,2,925
8393,3472,2558,4698,224,9,342,135696,0.25,0.17,2.56,2,957
8915,3458,2274,5444,552,9,744,124339,0.6,0.44,2.78,2,932
8569,3774,2729,6141,312,9,1778,135672,1.31,0.23,2.78,2,998
9663,4237,3256,7126,1776,9,2202,163374,1.35,1.09,2.59,2,971
9236,3896,2815,7039,1372,9,2420,144995,1.67,0.95,2.69,2,765
11817,4912,3756,8314,1168,9,2128,190245,1.12,0.61,2.58,2,1001
10059,4926,3646,7523,998,9,2468,176198,1.4,0.57,2.8,2,808
11305,5904,3953,8064,1910,9,2460,191278,1.29,1.0,3.09,2,894
13064,5763,4268,9332,1744,9,2630,221450,1.19,0.79,2.6,2,895
10866,4712,3226,7962,1468,9,2262,179727,1.26,0.82,2.62,2,1017
9077,4645,3868,6233,600,9,1884,174659,1.08,0.34,2.66,2,991
7574,3100,2800,5870,370,9,2066,126459,1.63,0.29,2.45,2,971
8816,4133,2942,6352,594,9,1854,150337,1.23,0.4,2.75,2,900
8055,4675,3138,5099,1226,9,1276,144281,0.88,0.85,3.24,2,910
10519,4424,3270,8621,1436,9,3128,165802,1.89,0.87,2.67,2,975
8813,3364,2738,6088,804,9,1718,143447,1.2,0.56,2.35,2,976
11065,3818,3065,7866,114,9,2106,170563,1.23,0.07,2.24,2,976
7542,3712,2830,6169,858,9,2406,140284,1.72,0.61,2.65,2,979
7231,4038,2996,6123,1296,9,2608,139334,1.87,0.93,2.9,2,878
10022,5394,3800,7608,1320,9,2622,189497,1.38,0.7,2.85,2,887
7394,3997,2972,6415,1310,9,2892,133330,2.17,0.98,3.0,2,1016
6890,3122,2299,4206,576,9,700,117970,0.59,0.49,2.65,2,1020
9190,3806,2668,6541,324,9,1920,148413,1.29,0.22,2.56,2,923
8505,3803,2866,6774,1438,9,2504,146907,1.7,0.98,2.59,2,985
15007,7027,5112,11061,1940,9,3378,256655,1.32,0.76,2.74,2,808
9793,5326,3871,7812,1920,9,2874,188342,1.53,1.02,2.83,2,923
7625,4142,3092,4396,534,9,704,142405,0.49,0.37,2.91,2,1043
6090,1896,1319,5016,848,9,1954,88339,2.21,0.96,2.15,2,829
7090,2207,1931,4725,294,9,1030,106439,0.97,0.28,2.07,2,938
6750,3637,2615,4706,842,9,1404,126492,1.11,0.67,2.88,2,934
9443,4083,3191,5539,582,9,828,165343,0.5,0.35,2.47,2,887
7156,2944,2356,4637,582,9,1112,123044,0.9,0.47,2.39,2,1004
5952,1726,1312,3767,118,9,826,82277,1.0,0.14,2.1,2,1081
9448,4355,3198,5346,400,9,648,160088,0.4,0.25,2.72,2,1003
8226,2946,2078,5493,788,9,1118,107717,1.04,0.73,2.73,2,966
10427,3767,3135,6956,314,9,1570,156055,1.01,0.2,2.41,2,846
8666,4392,3059,6021,762,9,1594,150021,1.06,0.51,2.93,2,876
8257,4364,3504,5978,290,9,2024,154886,1.31,0.19,2.82,2,951
6281,2682,2011,3705,456,9,752,101583,0.74,0.45,2.64,2,962
7596,2699,2258,4125,196,9,378,124973,0.3,0.16,2.16,2,1031
8304,2865,2566,5549,412,9,1330,131436,1.01,0.31,2.18,2,967
7943,3429,2340,4652,462,9,750,128950,0.58,0.36,2.66,2,927
9771,4754,3272,7636,1890,9,2600,165334,1.57,1.14,2.88,2,938
10539,4373,3442,7618,962,9,2072,170327,1.22,0.56,2.57,2,962
7721,4082,3303,5321,48,9,1590,141050,1.13,0.03,2.89,2,866
7889,4763,3003,5840,1710,9,1932,143538,1.35,1.19,3.32,2,959
8947,4031,3237,7360,1272,9,3014,165644,1.82,0.77,2.43,2,850
7543,3370,2461,5624,1104,9,1864,124691,1.49,0.89,2.7,2,842
6530,3466,2657,3942,378,9,830,119822,0.69,0.32,2.89,2,874
9712,4921,3528,6762,1112,9,1774,173828,1.02,0.64,2.83,2,998
8246,3277,2525,5664,216,9,1498,132751,1.13,0.16,2.47,2,934
14593,6159,4692,10411,1430,9,2858,244539,1.17,0.58,2.52,2,1011
11072,4649,3121,7389,1534,9,1662,180002,0.92,0.85,2.58,2,1006
