num_functions,cyclomatic_complexity,num_loops,num_function_calls,num_memory_allocations,num_pointer_operations,num_exp_math_operations,power_mW
303,18,7,67,6,17,33,1202.5
335,24,12,106,16,17,55,27
349,29,15,107,14,11,65,1944
281,15,11,38,2,3,11,179
338,27,14,107,14,19,35,22
327,16,7,90,10,11,73,26
313,12,9,78,2,17,23,2037
284,21,10,34,2,3,17,252
302,11,8,60,2,5,35,24
329,19,8,95,12,13,63,2033.5
321,24,9,84,14,15,77,31
313,32,19,82,20,13,47,1151.5
319,34,18,87,18,15,27,1538
325,26,17,87,14,7,47,709
321,31,18,90,20,17,65,20
317,20,8,75,10,7,67,23
289,17,10,48,8,3,47,1923
341,23,9,101,6,21,39,92
300,25,16,66,14,11,41,23
311,26,9,75,16,3,43,2067.5
327,18,5,87,6,19,63,1633.5
313,18,12,68,4,7,37,257
319,24,14,84,10,17,31,509
324,30,17,95,18,13,27,434
328,26,14,102,16,21,37,3066
325,14,4,78,2,9,59,72
327,15,4,89,6,19,69,2389.5
308,20,11,57,4,9,67,176
336,28,14,95,12,9,39,1527
308,24,11,85,20,11,41,689
318,25,12,82,8,19,17,2771
299,20,7,72,10,21,19,263
327,29,15,95,18,9,39,277.5
307,15,4,66,4,11,43,2148
307,18,11,75,10,19,55,22
309,16,12,62,4,3,49,104
327,33,15,90,16,13,37,773
306,26,13,70,12,9,21,1610
335,25,11,111,18,17,39,24
335,27,12,90,8,17,53,811
340,28,12,101,10,19,37,54
291,15,8,54,8,3,35,656
323,35,17,79,18,3,57,2198.5
325,27,15,102,18,21,33,28
303,15,9,59,4,13,67,250.5
365,35,17,122,16,15,67,2210
326,35,17,84,20,5,71,32
328,20,9,85,4,13,31,30
304,19,10,65,6,15,39,1339
315,17,10,79,6,17,39,2766
323,31,16,98,20,17,29,330
341,37,16,97,20,3,65,25
313,24,15,73,14,5,65,2050.5
336,35,20,102,20,17,59,128
314,20,8,87,14,21,59,337.5
338,27,12,93,8,11,35,2691
295,22,12,64,16,3,37,1262.5
294,24,15,60,12,9,21,4736
323,15,8,85,6,17,63,151
296,21,9,56,4,15,13,827
309,12,3,72,2,11,17,2530
306,15,8,73,10,3,31,23
314,22,11,68,8,3,47,408.5
322,19,8,89,6,21,21,305
294,22,10,73,18,13,27,2159
309,27,14,76,14,11,23,20
344,35,15,107,18,15,51,176
314,29,18,84,18,13,39,3688
337,12,2,96,2,17,59,21
306,9,3,69,2,15,47,500
292,23,12,68,16,17,31,2388
285,22,13,45,8,5,17,605
319,13,4,73,2,9,59,274
328,23,10,86,4,19,25,86
305,24,11,86,20,19,41,3936
303,20,6,75,10,19,19,603
275,14,6,48,10,9,19,259.5
301,27,14,70,20,5,53,1383
316,39,19,74,20,3,41,40
321,25,13,86,16,13,73,393.5
319,30,12,88,20,15,65,410
294,15,4,63,6,15,15,2461
312,15,7,75,8,13,65,25
293,20,9,59,12,7,39,1348
326,34,19,94,20,11,35,3966
305,31,19,66,18,3,51,1622.5
311,19,7,75,10,7,37,28
349,34,13,120,20,17,35,2512.5
320,14,8,76,2,7,35,2197
308,18,7,62,4,5,37,254
331,31,18,102,18,15,27,255
311,20,8,76,14,11,77,3279
316,14,4,81,6,15,45,207
324,23,10,90,10,19,37,21
315,15,5,79,2,21,23,967
321,19,12,81,10,5,55,1034
327,16,8,85,2,13,29,730.5
286,11,4,53,2,17,17,318.5
339,25,11,108,16,15,55,2189
309,30,15,73,16,5,25,29
331,31,16,85,12,13,63,2077
353,27,13,113,12,21,75,2255
329,26,14,92,8,19,17,2177
336,23,12,100,12,17,63,262.5
322,30,16,88,18,9,45,1588
296,36,17,60,20,5,29,2067.5
317,27,10,83,14,11,29,742
308,30,13,67,12,11,33,23
315,23,11,90,20,7,47,2659
287,14,5,45,6,3,51,1774.25
312,12,2,75,2,15,29,4713
312,15,7,68,4,13,67,32
345,26,15,95,10,3,67,1902
290,25,13,53,16,3,55,1707.5
299,15,7,60,6,11,51,24
336,27,13,95,14,13,77,287.5
323,19,8,84,2,21,17,22
317,20,13,73,6,7,39,2199
314,22,11,85,14,15,41,253
345,37,18,94,16,7,79,16
326,24,12,86,8,19,47,2178.5
300,21,12,63,14,5,65,184
321,14,7,76,2,9,47,23
322,20,9,85,14,3,65,808
335,26,12,87,6,7,27,1212
346,33,16,94,12,9,75,1591
301,16,9,70,10,13,43,264.5
319,17,10,79,2,15,17,3686
329,19,12,93,10,15,61,174
327,39,18,90,20,9,29,195
327,14,8,84,2,9,35,2639
319,25,14,80,16,7,79,19
293,11,4,63,4,17,19,258.5
326,25,14,88,10,17,43,33
319,19,7,90,8,21,17,1617
326,29,15,84,14,11,65,263
308,32,15,74,20,9,53,271
312,27,14,77,18,5,57,3655
321,27,10,88,16,5,25,1459
341,39,20,95,20,7,77,24
315,20,8,85,12,17,45,1686
331,21,8,96,10,15,43,29
310,18,9,82,10,17,25,389
314,26,12,70,10,9,49,76
337,24,11,91,8,13,65,1486
314,14,9,77,6,15,57,244.5
355,39,18,120,20,21,53,439.5
305,13,3,63,4,7,49,2125
302,19,7,64,6,9,15,37
323,27,17,96,16,21,37,32
322,19,8,79,4,19,55,25
296,16,8,64,10,5,25,2152
299,26,13,64,16,7,49,287
331,26,11,92,14,13,71,256
313,26,12,65,8,9,53,1954
309,16,7,64,2,19,65,2650
318,32,18,83,20,9,59,21
320,26,16,88,16,19,67,609
312,32,17,66,16,7,79,481
308,15,7,74,4,19,25,114
351,37,20,106,20,7,83,281
344,37,17,111,20,15,35,2224
318,21,8,75,4,21,49,43
294,16,3,59,4,15,13,115
314,27,14,72,12,13,63,1892.5
293,17,5,50,4,5,25,2182.5
293,24,13,65,18,3,27,264
313,14,5,63,2,5,65,21
341,28,10,99,14,7,59,5030
313,17,8,84,8,17,17,107
333,29,11,87,14,7,77,117
285,11,7,53,2,17,11,3529
304,16,8,75,10,9,19,17
282,8,3,39,2,7,65,1966
329,33,16,82,16,7,79,1021
289,22,11,59,16,5,37,547
329,23,7,82,10,3,67,64
297,18,10,60,10,5,43,192
342,30,16,100,16,7,67,2258
309,20,8,69,12,3,63,604.5
310,22,9,78,10,21,37,251
317,22,13,87,14,11,35,2124
305,17,9,77,10,17,31,44
351,31,17,115,18,17,75,280.5
337,14,10,98,4,19,61,21
295,18,7,54,8,3,41,3465
291,11,3,55,4,9,31,313
264,12,5,28,4,5,13,21
307,17,9,63,6,5,51,1978.5
349,37,18,105,16,19,73,30
324,27,12,86,18,5,75,321
322,30,16,84,14,11,35,1092
338,33,14,100,18,13,63,2107
309,13,9,73,2,13,11,261.5
306,22,8,62,10,5,61,421.5
299,26,11,64,12,11,21,2088.5
324,34,18,87,20,9,59,24
355,37,18,111,16,11,49,20
346,27,13,91,6,9,69,4396
328,33,18,94,18,17,51,139
297,16,7,75,12,21,33,348
306,17,9,69,10,7,55,479.5
304,32,19,65,20,5,71,1375
331,16,9,83,2,11,59,748.5
290,19,8,59,14,5,41,83
330,33,16,75,12,3,75,4351
341,31,15,100,14,19,71,1042.5
334,22,12,92,10,13,73,162
318,17,7,72,4,11,61,1608
316,22,8,77,6,19,33,2086.5
312,30,13,83,16,19,25,50
321,26,10,92,18,21,75,3091
331,25,14,97,18,11,81,2176.5
322,23,12,100,18,13,27,1083
290,18,7,46,2,9,17,123
310,28,13,75,12,15,21,4336
321,21,11,86,14,7,59,1462
294,20,8,71,14,17,23,259
305,20,13,60,6,5,39,1094
327,24,10,99,16,21,61,2237.5
326,20,7,82,4,7,19,418
301,23,13,59,8,9,35,28
293,18,8,62,12,9,39,2097
311,21,11,73,10,11,49,21
321,19,7,73,4,7,49,2721
338,31,12,103,16,21,61,2722
301,16,7,68,10,11,49,2041.5
339,21,9,104,8,21,41,258.5
331,28,11,104,20,11,41,27
289,13,7,46,2,3,23,1752
287,14,11,41,2,5,41,39
328,20,7,95,12,21,75,325.5
335,33,16,104,20,19,59,2544.5
347,27,15,107,12,19,69,185
300,14,6,69,10,15,61,24
328,28,15,96,14,21,41,760
341,33,17,97,14,3,29,407
304,12,3,70,2,17,17,1089.5
305,28,11,63,12,3,27,121
317,22,13,80,12,9,51,3646
311,12,5,66,2,9,59,22
347,33,15,108,16,21,73,800
309,19,11,66,8,11,71,1545.5
310,20,6,65,6,13,63,31
293,7,3,53,2,11,65,1225
305,26,15,80,18,13,27,180
300,21,11,62,6,17,27,1361
330,27,12,95,14,13,41,306.5
324,29,13,91,20,11,71,257
312,24,14,71,12,3,45,3914
319,13,7,83,4,15,37,2164.5
329,16,7,85,2,21,65,281
332,28,12,95,16,15,73,507
303,17,7,65,4,11,13,1046
313,15,6,76,8,9,53,1554
302,16,11,56,4,3,43,109
302,29,18,65,16,5,37,3004
347,34,20,115,20,15,47,1478.75
301,15,7,50,2,5,65,1808
312,22,8,79,12,19,57,254.5
338,32,13,100,16,21,73,27
328,29,17,102,20,19,53,3401
292,19,9,56,12,7,57,2203.5
295,27,12,55,12,3,21,263
316,18,7,74,2,19,35,1190.5
303,18,9,78,14,17,47,31
324,32,15,84,20,3,71,94
299,24,12,72,20,9,59,173
288,20,9,60,10,19,19,1769
311,23,10,85,18,9,39,38
300,23,9,62,10,13,43,231
299,20,7,68,12,7,21,4432
302,9,3,65,4,9,49,26
328,20,11,82,2,11,23,271.5
297,6,3,68,2,15,17,1284.5
319,12,5,86,4,19,37,2669
297,10,4,66,4,11,13,321.5
307,37,16,68,20,5,41,283
323,23,9,95,16,11,37,2247
303,16,8,76,12,15,45,28
320,16,11,83,6,21,63,50
305,9,4,68,2,7,23,2833
298,25,10,50,8,3,41,22
298,19,5,64,8,19,41,2690.25
343,23,11,90,4,5,49,71
316,22,12,74,10,13,73,75
318,26,13,80,14,13,65,2553
311,12,5,78,6,13,39,189
303,13,3,65,4,13,43,279
324,20,10,85,10,7,49,567
320,30,19,86,18,11,51,2086
336,22,8,97,10,19,73,19
353,26,10,109,10,13,61,367
317,27,13,67,6,5,27,3729
292,30,19,59,18,5,27,58
306,27,11,60,10,5,43,22
325,33,13,94,20,9,29,3882
314,23,7,78,10,11,25,31
332,16,11,90,4,17,61,18
327,25,11,91,16,5,55,23
337,34,19,107,18,19,27,1662
307,23,12,78,14,17,41,359.5
293,16,12,54,4,15,37,27
318,20,6,81,8,21,59,3719
318,18,8,85,8,19,41,21
333,18,9,87,4,15,67,184
317,22,7,83,10,11,19,1848.5
320,33,16,81,20,9,77,2034
341,25,9,101,14,9,71,22
303,20,10,58,4,9,31,3278
293,14,6,61,8,5,17,713
307,14,6,71,8,13,65,26
317,24,8,83,14,7,35,21
292,22,10,69,18,11,33,3218
294,11,5,58,4,17,55,1048
329,24,11,97,18,5,57,272
322,18,12,83,6,21,63,2450
314,18,6,74,4,13,25,28
367,32,14,129,16,21,73,417.5
319,24,13,69,6,3,39,558
333,35,16,98,20,11,47,2267
338,33,16,104,18,19,57,268
306,5,2,74,2,21,59,1593
308,30,13,72,16,9,37,2135.5
269,7,3,35,2,5,11,81
305,14,6,72,8,13,47,22
311,22,10,78,18,7,81,2666
328,33,16,89,18,17,81,2921.5
314,25,14,72,10,13,55,54
329,35,18,87,16,11,49,258.5
294,12,3,59,4,13,31,3728
332,28,16,94,14,9,41,338
308,17,8,72,4,17,19,22
293,11,3,59,4,7,13,1196.5
337,21,10,102,8,19,35,2115.5
324,27,13,95,16,17,37,588.5
323,19,9,77,6,11,69,30
323,24,14,90,14,9,35,3220
311,21,10,73,10,15,61,567.5
308,13,9,70,2,11,17,1666
317,17,9,85,12,15,69,2867
311,29,12,80,20,5,41,30
314,34,16,65,14,5,59,258.5
301,12,7,62,4,3,25,594
327,31,17,97,16,21,31,2189.5
300,17,7,52,4,3,49,36
318,27,12,90,18,11,33,46
323,24,11,74,6,3,33,2114.5
317,27,11,85,18,5,39,189
336,36,17,90,18,5,69,31
306,23,15,70,12,9,39,2233
315,29,15,80,14,11,23,23
286,26,16,53,14,9,23,2286
293,15,7,52,4,5,25,25
314,26,16,72,12,13,69,1708
307,27,10,68,14,11,59,27
324,27,13,74,8,13,71,20
285,22,15,50,10,9,19,3731
322,20,12,79,6,17,63,23
339,14,4,103,6,19,63,22
337,27,16,108,16,21,49,1634.5
308,25,11,71,10,11,19,151
310,30,18,73,16,3,25,31
311,22,11,70,6,11,21,215
304,14,5,78,8,17,17,902
344,41,20,105,20,19,59,1800
310,32,12,78,20,7,35,24
299,10,4,59,6,3,63,1523
308,20,8,69,10,11,61,4029
317,16,4,72,4,3,37,197
306,26,13,84,20,17,41,584
312,22,10,56,2,7,59,1608
333,26,15,95,14,17,77,132
316,18,9,90,12,21,45,2102
312,22,10,68,8,7,47,113
316,23,7,70,10,3,61,2455
296,17,12,54,4,3,13,33
323,23,12,93,14,17,47,21
301,11,7,61,4,5,43,3905
304,24,9,70,10,19,31,24
330,25,15,94,14,19,77,1783.5
321,24,11,72,8,5,59,1989
314,17,5,71,6,13,69,476
326,28,14,86,10,15,31,152
309,24,8,67,10,5,37,105
289,12,7,58,4,15,13,1415
302,16,9,67,4,19,25,1983.5
300,16,9,61,6,11,45,104
320,30,17,91,16,21,31,2180
325,24,14,83,10,13,61,62
317,16,5,78,4,21,55,79
308,16,5,68,6,15,63,2451
339,34,16,94,14,5,35,70
299,19,11,61,8,5,23,77
